@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@AppleSupport can I import MIDI files to GarageBand IOS?,,,,,,,,,,,,,,,,,,
@AppleSupport Says there is no uk chat available ????,,,,,,,,,,,,,,,,,,
@AppleSupport i just bought a new iPhone and the imusic library and playlists are not showing on my new phone. What can I do? Thanks.,,,,,,,,,,,,,,,,,,
@AppleSupport since upgrading to the latest upgrade I cannot use the navigation bar when searching for a website? Please advise,,,,,,,,,,,,,,,,,,
"@AppleSupport how does the iCloud Photo optimization work? I have 200 mb of free space on my device, 3.5 gb is Photo library and... nothing happens. It suggest me to delete apps, clear messages and nothing more.",,,,,,,,,,,,,,,,,,
@AppleSupport any known issues with Apple Music right now? Not letting me search for songs.,,,,,,,,,,,,,,,,,,
@AppleSupport why my iPhone 7 plus keeps lagging and hanging on different apps?,,,,,,,,,,,,,,,,,,
Am I the only one having issues with #iOS11? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport hey all. What's going on in China. UPS says that there are a lot of delays of product coming out of there for iPhone X? My delivery date with UPS says that its currently unavailable. who can get this resolved?,,,,,,,,,,,,,,,,,,
"@AppleSupport my smart battery case stopped working, what is the warranty period on these?",,,,,,,,,,,,,,,,,,
So my Apple Watch series 3 screen has separated and the ONLY way to get it sorted is to fly from Italy back to the UK!?!? Really @AppleSupport ??This is unacceptable and unbelievable.,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport I have a list of iOS 11 bugs/glitches a@that I would like to share with you. What is the best channel to do so?,,,,,,,,,,,,,,,,,,
Why does my phone battery die in 10 minutes?? @AppleSupport,,,,,,,,,,,,,,,,,,
.@AppleSupport Where is the continuous play for podcasts in the new OS and #iPhoneX ? @318 | Please bring it back!,,,,,,,,,,,,,,,,,,
@AppleSupport how do I find out my Genius Bar reservation time??,,,,,,,,,,,,,,,,,,
"@AppleSupport in High Sierra ""portion-screenshot"" has a lower DPI (or sensitivity) than normal mouse actions. Anywhere I can change this?",,,,,,,,,,,,,,,,,,
@AppleSupport Hello - are you able to help with an Apple Upgrade Program issue?,,,,,,,,,,,,,,,,,,
"@AppleSupport since updating to the new iOS, Personal Hotspot has not been working. Do you know or any other users with this bug?",,,,,,,,,,,,,,,,,,
"hey @AppleSupport is it normal that the iPhone X is getting super hot? I mean, on you hand.",,,,,,,,,,,,,,,,,,
"@AppleSupport Will there be a fix for the: Error Pop up - ""Calendar Invitation - Your response to the invitation cannot be sent - Ok""? I have the iphone 8 and this seems to be happening every single time I accept an invite from the phone.",,,,,,,,,,,,,,,,,,
@AppleSupport why is my brightness auto turning on and off on its own? just started today wtfugg,,,,,,,,,,,,,,,,,,
@AppleSupport Who made that decision? It looks horrendous,,,,,,,,,,,,,,,,,,
@AppleSupport Does iOS 11 cause iPad to charge slower than iOS 10? Seems like it is charging slower. @115858 #Apple #iOS11 #iPad,,,,,,,,,,,,,,,,,,
Why do I have to wait for MY OWN VIDEOS to load ???? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
hey @AppleSupport my pristine 6s is slowing down for no reason what gives? i'm a responsible caretaker that didn't upgrade and has plenty of storage,,,,,,,,,,,,,,,,,,
"@AppleSupport I visited the genius bar yesterday, but the associate did not resolve issue or give me an idea of resolving the issue - I feel like my issue is worse now. What's the next step for resolving issues?",,,,,,,,,,,,,,,,,,
@AppleSupport why have you removed the ability to turn off WiFi/Bluetooth when you swipe up? It now just disconnects but leaves the feature on,,,,,,,,,,,,,,,,,,
Anyone else with a Gen 1 Apple Watch notice battery life drop off significantly since the update? @AppleSupport @115858 #iWatch,,,,,,,,,,,,,,,,,,
@AppleSupport I am trying to remove Mac Cleaner from my desktop.How do I do that?,,,,,,,,,,,,,,,,,,
@AppleSupport : Please DO NOT destroy my photos. Apple Verification Code?I have not slept since Monday - I have two phones-was2buyNEW.,,,,,,,,,,,,,,,,,,
@AppleSupport What details do you need ?,,,,,,,,,,,,,,,,,,
@AppleSupport I was trying to send photos to a third party company with their own email domain (?),,,,,,,,,,,,,,,,,,
"@AppleSupport Any reason why my iTunes payment method (credit card) gets rejected for some subscriptions and in-app purchases, but works fine for others within the same app?",,,,,,,,,,,,,,,,,,
@AppleSupport holy shit...the new iOS fucks up everything. Are you trying to screw this thing up? @318,,,,,,,,,,,,,,,,,,
@270233 @115948 @AppleSupport could you please help with this? Thanks in advance!,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, trying to fix my iphone 6 stuck on apple logo with ios 11.1.1, i tried to downgrade it to 11.0.3 and when finished it stuck on ''iphone is disabled connect to itunes'' with no carrier logo or battery logo or anything just that, any help please??",,,,,,,,,,,,,,,,,,
Hey @AppleSupport why is wifi really slow on one network on my iPhone X? All other networks and cellular work fine and the slow network is fast on other Apple devices. Also seems to get slightly faster when mobile data and Bluetooth are off.,,,,,,,,,,,,,,,,,,
@AppleSupport Hi! How to check AppleCare coverage on unpaired devices preparing to sell?,,,,,,,,,,,,,,,,,,
@AppleSupport I thought you guys were to help with problems not teach us new stuff?????,,,,,,,,,,,,,,,,,,
"Has anyone else noticed decreased battery life with iOS 11? Mine seems to be running out _much_ faster. Could be age of the phone, but it's only a 2y-old 6S+.@AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport Does an Apple Music membership work on an iPod Touch 6th Gen and a Mac?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport can you please explain why ios11 no longer let's my phone connect to my car via Bluetooth????,,,,,,,,,,,,,,,,,,
@AppleSupport Thanks. Curious on the purpose of that notice then?,,,,,,,,,,,,,,,,,,
@AppleSupport what happened to iBooks? I cant download books from google and add them to iBooks why?????????? No not storage issue,,,,,,,,,,,,,,,,,,
@AppleSupport Can you do it with the 3rd generation Apple TV? Thanks,,,,,,,,,,,,,,,,,,
Hi @AppleSupport - is it possible to connect my iPhone to use as an AppleTV remote without having the actual remote? Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport @271136 Same here with my 6 Plus. It hates this new update with a passion. And my battery life is now awful (?),,,,,,,,,,,,,,,,,,
@AppleSupport Brazil doesn't have a number? :/,,,,,,,,,,,,,,,,,,
"Hey @AppleSupport, I forgot my security questions and when I try to reset it says that wasn't possible... What should I do?",,,,,,,,,,,,,,,,,,
@AppleSupport Which will be 3 weeks time so no other way to update unless through WiFi???,,,,,,,,,,,,,,,,,,
@AppleSupport why is my 6S plus dimming and screen brightness going all the way down to 0 on its own?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there a way to sort my safari bookmarks by alphabetical order?,,,,,,,,,,,,,,,,,,
"@AppleSupport 29 day rental, but upon playing I get alert that it is two day?? And when I hit ok, it said I only have one day to watch??",,,,,,,,,,,,,,,,,,
"@AppleSupport Good evening ... when the iPad keyboard bug will be resolved? It's so annoying and it gets long ... if you can not solve it  put the old version but do something please ! Thank you.Bette, like this ?",,,,,,,,,,,,,,,,,,
"@AppleSupport Which apps would you suggest? Most apps bring their own interface, clock in YouTube for instance appears just fine.",,,,,,,,,,,,,,,,,,
Can I revert back to the old UI before this latest iOS update @AppleSupport? The new look is awful,,,,,,,,,,,,,,,,,,
@AppleSupport No Wishlist for App Store in iOS 11. Am I right?,,,,,,,,,,,,,,,,,,
"@AppleSupport Can the Apple watch work without a iPhone, a Best buy rep told me they had to be connected?",,,,,,,,,,,,,,,,,,
"@AppleSupport Why is it when using the control center to shut off WiFi or Bluetooth, it doesn't turn off.  When you go to settings there still on?",,,,,,,,,,,,,,,,,,
"@AppleSupport Thank you. Whom do i contact to ask for the ""express written permission from Apple"" ?",,,,,,,,,,,,,,,,,,
"@AppleSupport Legally speaking, can i use @115858 's logo to put it in a public poster ? Goal is to make people coming in our next school conference ""buying guide for christmas"" ? Will be discret and next to other's logos",,,,,,,,,,,,,,,,,,
@AppleSupport Since most recent update my iPhone 7 phone has been burning through battery life. What gives? #apple #iphone,,,,,,,,,,,,,,,,,,
"@AppleSupport 2/2 the phone from the service, I've reported through mail that the screen appears to squeak when pressing a bit harder the screen on the left side. Had no answer from the technician. Now I was offered a $482 offer of replacing the iP. Is there any higher authority or it's over?",,,,,,,,,,,,,,,,,,
"@AppleSupport is there a way to make a complaint of an ASP in Poland? After a warranty camera repair, the next day after pickup and answering a call in foggy weather iP started to break. Gave back for a service - diagnose: liquid damage. The same day I've picked up 1/2",,,,,,,,,,,,,,,,,,
@AppleSupport How can I keep my Apple keyboard media controls in charge of iTunes? Instead of having a web page stealing the controls priority and never returning it to iTunes? #HighSierra #Bug,,,,,,,,,,,,,,,,,,
@AppleSupport Should I select re-install macOS? Will it preserve my data?,,,,,,,,,,,,,,,,,,
@AppleSupport got a MacBook Pro that won't boot after upgrading to High Sierra - any tips?,,,,,,,,,,,,,,,,,,
how do you recover your photos from recently deleted but you have no backup? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi Apple! My early 2015 Macbook Pro Retina has glares on it. Since I have no Apple Care, will I be able to get a free repair?",,,,,,,,,,,,,,,,,,
"Hi @AppleSupport, is it possible to stop my Mac receiving the two-factor authentication code and only send it to my iPhone or iPad?",,,,,,,,,,,,,,,,,,
"@AppleSupport It doesn't say how much ram it has on the specifications page, does the 8 plus have 2 or 3GB of ram?",,,,,,,,,,,,,,,,,,
@AppleSupport How much ram does the Iphone 8 respective the Iphone 8 plus and will it be enough for heavy multitasking?I am also wondering if IOS 11 supports split view?,,,,,,,,,,,,,,,,,,
@AppleSupport If I stop iCloud and have the pics moved to my laptop will those pics be deleted?,,,,,,,,,,,,,,,,,,
@AppleSupport So what I have to do to fix this?,,,,,,,,,,,,,,,,,,
@AppleSupport why does the iPhone 7 get so hot while using certain apps? Mine gets too hot to touch oh and would be helpful if you had a uk support twitter page,,,,,,,,,,,,,,,,,,
@AppleSupport I was checking out and the next day shipping switched from the 24th to the 27th on me. That's too long to wait. Can you help? #2017mbp,,,,,,,,,,,,,,,,,,
@AppleSupport can you use Project Fi nano SIM card in a cellular model iPad?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi. Since upgrading to High Sierra, my ATV3 remote plays iTunes on Macbook when I am trying to use my TV. Help?",,,,,,,,,,,,,,,,,,
@AppleSupport latest update to 11.0.03 has destroyed my phone. Can I just go back to iOS10? Phone unresponsive and lags and battery is crap.,,,,,,,,,,,,,,,,,,
Right @AppleSupport my password has stopped being accepted. Signed in using code but can't do anything- keeps saying password not correct!!?,,,,,,,,,,,,,,,,,,
Hello @AppleSupport i have a case opened since october 16. I have no answer. Is this normal? Thank you,,,,,,,,,,,,,,,,,,
@AppleSupport why I don't have iOS 11 yet????,,,,,,,,,,,,,,,,,,
"@AppleSupport Mail running on 2 computers. Identical settings in app. One will allow emails to be sent, the other will not. Known issue?",,,,,,,,,,,,,,,,,,
@AppleSupport How to forcibly switch to 2G /3G /4G on Apple 7 + ?,,,,,,,,,,,,,,,,,,
@AppleSupport I upgraded to 11.0.3 and now the clock has disappeared from my lock screen?!??,,,,,,,,,,,,,,,,,,
Why is the #podcast app crashing?!? @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Hey, would a student with no current occupation be able to buy the iPhone X in the UK on the upgrade program using savings?",,,,,,,,,,,,,,,,,,
@applesupport what plug-ins do I need to make quicktime work on my macbook pro?,,,,,,,,,,,,,,,,,,
@AppleSupport yo @115948 is not working...It asks me to sign up and im already a member ??,,,,,,,,,,,,,,,,,,
@AppleSupport what update for ios is this? My phone sucks to the core after this update. Its too slow and many more problems. #ios11update,,,,,,,,,,,,,,,,,,
Hey @AppleSupport.  What happened to my Chrome  filter?,,,,,,,,,,,,,,,,,,
@272970 @271975 @10878 @AppleSupport is there a known issue with iOS 11 and certain cars?  We are having problems accessing the phonebook in our Acura.,,,,,,,,,,,,,,,,,,
@AppleSupport can you please advise why my iPhone will not send video messages after I did the update?,,,,,,,,,,,,,,,,,,
@AppleSupport is iMessage having some issues lately?,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 @116333 still silent and FAILING to fix terrible iOS 11 battery life. Where is the LEADERSHIP Apple used to be known for? @122609 never looked better.,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi. I have an apple 7 plus. Same problem. When im video call, I can not manage the volume while talking. Can you tell me . what is the problem ?",,,,,,,,,,,,,,,,,,
Any way to share your iTunes wish list? @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Since updating to iOS11, I've been having problems with bluetooth dropping connection almost daily. I can fix by turning BT on and off on my iPhone, but wondered if you had any other ideas? Thank you.",,,,,,,,,,,,,,,,,,
@115858 @AppleSupport please help! iPhone 6s. My personally recorded videos all of a sudden stopped playing. Also some of my pictures can no longer be used as wallpaper? I have tried to reset settings and power down the phone to no avail.,,,,,,,,,,,,,,,,,,
